番号,設置形態,大学名,,平成30年度大学入学者選抜,,,,,,,,平成29年度大学入学者選抜,,,,,,,,平成28年度大学入学者選抜,,,,,,,,平成27年度大学入学者選抜,,,,,,,,平成26年度大学入学者選抜,,,,,,,,平成25年度大学入学者選抜,,,,,,,
,,,,受験者数,,,合格者数,,,合格率（合格者数／受験者数）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,私立,埼玉医科大学,合計,"2,919","2,091","5,010",167,75,242,6%,4%,"2,792","1,855","4,647",159,73,232,6%,4%,"3,189","2,203","5,392",161,75,236,5%,3%,"3,108","2,022","5,130",148,76,224,5%,4%,"2,802","1,953","4,755",125,79,204,4%,4%,"2,673","1,781","4,454",121,67,188,5%,4%
55,私立,埼玉医科大学,うち18歳以下,549,524,"1,073",24,18,42,4%,3%,593,421,"1,014",28,11,39,5%,3%,617,608,"1,225",32,11,43,5%,2%,671,517,"1,188",20,15,35,3%,3%,494,413,907,22,11,33,4%,3%,603,479,"1,082",20,13,33,3%,3%
55,私立,埼玉医科大学,うち19歳,881,673,"1,554",71,23,94,8%,3%,764,665,"1,429",65,32,97,9%,5%,949,702,"1,651",61,29,90,6%,4%,789,610,"1,399",56,33,89,7%,5%,795,647,"1,442",48,30,78,6%,5%,742,523,"1,265",41,27,68,6%,5%
55,私立,埼玉医科大学,うち20歳,639,480,"1,119",54,24,78,8%,5%,601,430,"1,031",41,15,56,7%,3%,655,444,"1,099",45,23,68,7%,5%,701,470,"1,171",50,18,68,7%,4%,631,430,"1,061",33,26,59,5%,6%,565,392,957,28,15,43,5%,4%
55,私立,埼玉医科大学,うち21歳,360,213,573,11,8,19,3%,4%,306,153,459,17,12,29,6%,8%,419,219,638,20,9,29,5%,4%,382,214,596,15,7,22,4%,3%,349,177,526,12,7,19,3%,4%,280,184,464,18,9,27,6%,5%
55,私立,埼玉医科大学,うち22歳以上,490,201,691,7,2,9,1%,1%,528,186,714,8,3,11,2%,2%,549,230,779,3,3,6,1%,1%,565,211,776,7,3,10,1%,1%,533,286,819,10,5,15,2%,2%,483,203,686,14,3,17,3%,1%
56,私立,国際医療福祉大学,合計,"1,711","1,541","3,252",181,139,320,11%,9%,"1,745","1,528","3,273",159,104,263,9%,7%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
56,私立,国際医療福祉大学,うち18歳以下,465,527,992,40,36,76,9%,7%,515,532,"1,047",34,37,71,7%,7%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
56,私立,国際医療福祉大学,うち19歳,540,517,"1,057",73,71,144,14%,14%,524,524,"1,048",61,42,103,12%,8%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
56,私立,国際医療福祉大学,うち20歳,290,245,535,35,21,56,12%,9%,267,191,458,33,10,43,12%,5%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
56,私立,国際医療福祉大学,うち21歳,139,86,225,18,6,24,13%,7%,124,87,211,14,6,20,11%,7%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
56,私立,国際医療福祉大学,うち22歳以上,277,166,443,15,5,20,5%,3%,315,194,509,17,9,26,5%,5%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
57,私立,杏林大学,合計,"2,482","1,625","4,107",222,134,356,9%,8%,"2,452","1,552","4,004",245,163,408,10%,11%,"2,403","1,424","3,827",229,131,360,10%,9%,"2,608","1,464","4,072",255,135,390,10%,9%,"2,621","1,604","4,225",231,108,339,9%,7%,"2,173","1,283","3,456",167,117,284,8%,9%
57,私立,杏林大学,うち18歳以下,475,456,931,39,20,59,8%,4%,467,349,816,34,25,59,7%,7%,468,394,862,29,22,51,6%,6%,516,354,870,26,25,51,5%,7%,469,403,872,28,25,53,6%,6%,489,351,840,37,27,64,8%,8%
57,私立,杏林大学,うち19歳,722,485,"1,207",95,67,162,13%,14%,657,545,"1,202",104,80,184,16%,15%,652,388,"1,040",99,49,148,15%,13%,645,435,"1,080",91,55,146,14%,13%,660,464,"1,124",98,48,146,15%,10%,530,374,904,68,43,111,13%,11%
57,私立,杏林大学,うち20歳,471,301,772,49,34,83,10%,11%,409,284,693,63,40,103,15%,14%,444,267,711,58,43,101,13%,16%,518,302,820,74,41,115,14%,14%,493,290,783,66,27,93,13%,9%,355,236,591,36,31,67,10%,13%
57,私立,杏林大学,うち21歳,284,148,432,26,11,37,9%,7%,253,131,384,23,6,29,9%,5%,263,130,393,18,11,29,7%,8%,273,141,414,19,9,28,7%,6%,291,135,426,11,3,14,4%,2%,201,92,293,7,5,12,3%,5%
57,私立,杏林大学,うち22歳以上,530,235,765,13,2,15,2%,1%,666,243,909,21,12,33,3%,5%,576,245,821,25,6,31,4%,2%,656,232,888,45,5,50,7%,2%,708,312,"1,020",28,5,33,4%,2%,598,230,828,19,11,30,3%,5%
58,私立,慶應義塾大学,合計,991,344,"1,335",145,35,180,15%,10%,"1,007",386,"1,393",140,39,179,14%,10%,"1,057",385,"1,442",138,30,168,13%,8%,"1,084",425,"1,509",121,37,158,11%,9%,"1,097",392,"1,489",115,29,144,10%,7%,"1,049",389,"1,438",129,43,172,12%,11%
58,私立,慶應義塾大学,うち18歳以下,419,182,601,84,25,109,20%,14%,438,190,628,78,25,103,18%,13%,425,194,619,77,22,99,18%,11%,438,191,629,65,26,91,15%,14%,424,171,595,61,21,82,14%,12%,421,190,611,66,26,92,16%,14%
58,私立,慶應義塾大学,うち19歳,345,104,449,51,8,59,15%,8%,351,125,476,50,12,62,14%,10%,368,110,478,46,7,53,13%,6%,363,143,506,48,9,57,13%,6%,344,117,461,46,7,53,13%,6%,361,127,488,48,12,60,13%,9%
58,私立,慶應義塾大学,うち20歳,114,25,139,9,1,10,8%,4%,104,43,147,9,2,11,9%,5%,132,40,172,14,1,15,11%,3%,126,44,170,4,1,5,3%,2%,162,51,213,4,1,5,2%,2%,115,28,143,8,3,11,7%,11%
58,私立,慶應義塾大学,うち21歳,40,8,48,1,1,2,3%,13%,36,6,42,3,0,3,8%,0%,41,16,57,1,0,1,2%,0%,56,17,73,2,1,3,4%,6%,49,16,65,1,0,1,2%,0%,46,18,64,6,1,7,13%,6%
58,私立,慶應義塾大学,うち22歳以上,73,25,98,0,0,0,0%,0%,78,22,100,0,0,0,0%,0%,91,25,116,0,0,0,0%,0%,101,30,131,2,0,2,2%,0%,118,37,155,3,0,3,3%,0%,106,26,132,1,1,2,1%,4%
59,私立,順天堂大学,合計,"2,372","1,779","4,151",239,93,332,10%,5%,"2,281","1,896","4,177",210,114,324,9%,6%,"2,224","1,670","3,894",229,107,336,10%,6%,"2,361","1,904","4,265",210,108,318,9%,6%,"2,530","1,803","4,333",202,85,287,8%,5%,"2,451","1,769","4,220",212,88,300,9%,5%
59,私立,順天堂大学,うち18歳以下,"1,147","1,065","2,212",127,62,189,11%,6%,"1,101","1,107","2,208",101,75,176,9%,7%,"1,022",945,"1,967",93,65,158,9%,7%,"1,096","1,041","2,137",96,68,164,9%,7%,"1,138",973,"2,111",88,46,134,8%,5%,"1,157",921,"2,078",121,48,169,10%,5%
59,私立,順天堂大学,うち19歳,869,522,"1,391",99,28,127,11%,5%,830,623,"1,453",92,31,123,11%,5%,873,529,"1,402",115,37,152,13%,7%,865,647,"1,512",102,36,138,12%,6%,915,590,"1,505",97,33,130,11%,6%,884,657,"1,541",78,35,113,9%,5%
59,私立,順天堂大学,うち20歳,245,145,390,12,3,15,5%,2%,235,123,358,14,6,20,6%,5%,216,140,356,17,4,21,8%,3%,265,159,424,11,4,15,4%,3%,326,158,484,11,5,16,3%,3%,257,109,366,8,3,11,3%,3%
59,私立,順天堂大学,うち21歳,58,20,78,1,0,1,2%,0%,57,17,74,2,1,3,4%,6%,57,16,73,2,0,2,4%,0%,52,25,77,1,0,1,2%,0%,55,40,95,2,1,3,4%,3%,60,29,89,3,0,3,5%,0%
59,私立,順天堂大学,うち22歳以上,53,27,80,0,0,0,0%,0%,58,26,84,1,1,2,2%,4%,56,40,96,2,1,3,4%,3%,83,32,115,0,0,0,0%,0%,96,42,138,4,0,4,4%,0%,93,53,146,2,2,4,2%,4%
60,私立,昭和大学,合計,"3,264","2,227","5,491",230,105,335,7%,5%,"3,657","2,404","6,061",219,99,318,6%,4%,"3,866","2,365","6,231",226,93,319,6%,4%,"3,743","2,245","5,988",263,101,364,7%,4%,"3,740","2,287","6,027",243,98,341,6%,4%,"3,650","2,334","5,984",253,93,346,7%,4%
60,私立,昭和大学,うち18歳以下,"1,076","1,036","2,112",109,58,167,10%,6%,"1,191","1,023","2,214",87,55,142,7%,5%,"1,213","1,046","2,259",87,50,137,7%,5%,"1,157",927,"2,084",92,53,145,8%,6%,"1,091",896,"1,987",82,54,136,8%,6%,"1,198","1,015","2,213",88,51,139,7%,5%
60,私立,昭和大学,うち19歳,"1,109",659,"1,768",88,42,130,8%,6%,"1,154",813,"1,967",95,40,135,8%,5%,"1,207",686,"1,893",104,31,135,9%,5%,"1,184",712,"1,896",117,38,155,10%,5%,"1,145",700,"1,845",112,35,147,10%,5%,"1,072",738,"1,810",96,35,131,9%,5%
60,私立,昭和大学,うち20歳,593,326,919,22,5,27,4%,2%,657,326,983,30,4,34,5%,1%,663,354,"1,017",27,9,36,4%,3%,647,332,979,43,8,51,7%,2%,681,364,"1,045",37,8,45,5%,2%,606,313,919,49,4,53,8%,1%
60,私立,昭和大学,うち21歳,220,108,328,10,0,10,5%,0%,268,118,386,7,0,7,3%,0%,328,133,461,4,3,7,1%,2%,288,136,424,7,2,9,2%,1%,339,141,480,10,1,11,3%,1%,323,117,440,17,3,20,5%,3%
60,私立,昭和大学,うち22歳以上,266,98,364,1,0,1,0%,0%,387,124,511,0,0,0,0%,0%,455,146,601,4,0,4,1%,0%,467,138,605,4,0,4,1%,0%,484,186,670,2,0,2,0%,0%,451,151,602,3,0,3,1%,0%
61,私立,帝京大学,合計,"5,542","3,315","8,857",126,84,210,2%,3%,"5,449","3,180","8,629",164,99,263,3%,3%,"4,711","3,226","7,937",173,117,290,4%,4%,"4,986","3,067","8,053",184,81,265,4%,3%,"5,151","3,309","8,460",160,74,234,3%,2%,"3,276","1,997","5,273",128,84,212,4%,4%
61,私立,帝京大学,うち18歳以下,"1,158","1,069","2,227",17,28,45,1%,3%,"1,082",946,"2,028",41,23,64,4%,2%,953,"1,007","1,960",22,19,41,2%,2%,"1,045",870,"1,915",21,21,42,2%,2%,"1,146",923,"2,069",30,12,42,3%,1%,811,618,"1,429",28,18,46,3%,3%
61,私立,帝京大学,うち19歳,"1,351",891,"2,242",43,25,68,3%,3%,"1,122",918,"2,040",54,41,95,5%,4%,"1,103",833,"1,936",72,48,120,7%,6%,"1,104",797,"1,901",79,35,114,7%,4%,"1,218",926,"2,144",54,26,80,4%,3%,694,476,"1,170",43,33,76,6%,7%
61,私立,帝京大学,うち20歳,920,534,"1,454",32,15,47,3%,3%,955,476,"1,431",46,22,68,5%,5%,764,510,"1,274",48,43,91,6%,8%,880,543,"1,423",49,16,65,6%,3%,873,526,"1,399",47,23,70,5%,4%,509,310,819,27,24,51,5%,8%
61,私立,帝京大学,うち21歳,541,247,788,8,5,13,1%,2%,548,229,777,5,3,8,1%,1%,488,274,762,8,1,9,2%,0%,518,240,758,12,3,15,2%,1%,523,237,760,11,5,16,2%,2%,269,174,443,6,2,8,2%,1%
61,私立,帝京大学,うち22歳以上,"1,572",574,"2,146",26,11,37,2%,2%,"1,742",611,"2,353",18,10,28,1%,2%,"1,403",602,"2,005",23,6,29,2%,1%,"1,439",617,"2,056",23,6,29,2%,1%,"1,391",697,"2,088",18,8,26,1%,1%,993,419,"1,412",24,7,31,2%,2%
62,私立,東京医科大学,合計,"2,191","1,478","3,669",198,43,241,9%,3%,"2,198","1,606","3,804",116,91,207,5%,6%,"2,643","1,638","4,281",156,76,232,6%,5%,"2,509","1,546","4,055",146,94,240,6%,6%,"2,245","1,391","3,636",186,77,263,8%,6%,"1,985","1,261","3,246",133,89,222,7%,7%
62,私立,東京医科大学,うち18歳以下,597,559,"1,156",58,26,84,10%,5%,587,548,"1,135",35,34,69,6%,6%,701,591,"1,292",40,30,70,6%,5%,671,514,"1,185",43,42,85,6%,8%,615,487,"1,102",44,30,74,7%,6%,591,412,"1,003",54,30,84,9%,7%
62,私立,東京医科大学,うち19歳,728,467,"1,195",87,9,96,12%,2%,678,543,"1,221",45,37,82,7%,7%,829,519,"1,348",62,22,84,7%,4%,763,520,"1,283",60,30,90,8%,6%,733,443,"1,176",68,31,99,9%,7%,602,475,"1,077",55,46,101,9%,10%
62,私立,東京医科大学,うち20歳,381,231,612,37,7,44,10%,3%,399,232,631,26,9,35,7%,4%,451,244,695,36,14,50,8%,6%,455,269,724,26,17,43,6%,6%,386,237,623,49,8,57,13%,3%,350,181,531,13,11,24,4%,6%
62,私立,東京医科大学,うち21歳,192,92,284,13,1,14,7%,1%,175,121,296,3,7,10,2%,6%,234,122,356,10,5,15,4%,4%,237,122,359,5,2,7,2%,2%,193,88,281,12,3,15,6%,3%,159,74,233,5,1,6,3%,1%
62,私立,東京医科大学,うち22歳以上,293,129,422,3,0,3,1%,0%,359,162,521,7,4,11,2%,2%,428,162,590,8,5,13,2%,3%,383,121,504,12,3,15,3%,2%,318,136,454,13,5,18,4%,4%,283,119,402,6,1,7,2%,1%
63,私立,東京慈恵会医科大学,合計,"1,237",608,"1,845",187,81,268,15%,13%,"1,217",571,"1,788",183,84,267,15%,15%,"1,434",639,"2,073",217,99,316,15%,15%,"1,482",701,"2,183",231,108,339,16%,15%,"1,589",779,"2,368",206,101,307,13%,13%,"1,753",804,"2,557",262,96,358,15%,12%
63,私立,東京慈恵会医科大学,うち18歳以下,444,288,732,82,42,124,18%,15%,473,261,734,92,50,142,19%,19%,531,302,833,85,53,138,16%,18%,559,293,852,99,62,161,18%,21%,550,330,880,86,57,143,16%,17%,626,374,"1,000",116,52,168,19%,14%
63,私立,東京慈恵会医科大学,うち19歳,452,193,645,82,30,112,18%,16%,412,207,619,73,31,104,18%,15%,482,202,684,103,42,145,21%,21%,494,245,739,106,37,143,21%,15%,531,257,788,98,40,138,18%,16%,586,248,834,110,39,149,19%,16%
63,私立,東京慈恵会医科大学,うち20歳,190,81,271,18,7,25,9%,9%,178,67,245,15,2,17,8%,3%,207,81,288,21,3,24,10%,4%,203,106,309,19,8,27,9%,8%,253,105,358,14,3,17,6%,3%,243,96,339,23,2,25,9%,2%
63,私立,東京慈恵会医科大学,うち21歳,57,18,75,4,0,4,7%,0%,67,10,77,2,0,2,3%,0%,77,27,104,3,0,3,4%,0%,91,23,114,3,1,4,3%,4%,89,40,129,3,1,4,3%,3%,125,36,161,10,1,11,8%,3%
63,私立,東京慈恵会医科大学,うち22歳以上,94,28,122,1,2,3,1%,7%,87,26,113,1,1,2,1%,4%,137,27,164,5,1,6,4%,4%,135,34,169,4,0,4,3%,0%,166,47,213,5,0,5,3%,0%,173,50,223,3,2,5,2%,4%
64,私立,東京女子医科大学,合計,0,"1,405","1,405",0,187,187,-,13%,0,"1,526","1,526",0,204,204,-,13%,0,"1,687","1,687",0,206,206,-,12%,0,"1,739","1,739",0,196,196,-,11%,0,"1,768","1,768",0,191,191,-,11%,0,"1,580","1,580",0,157,157,-,10%
64,私立,東京女子医科大学,うち18歳以下,0,471,471,0,87,87,-,18%,0,489,489,0,77,77,-,16%,0,548,548,0,69,69,-,13%,0,574,574,0,70,70,-,12%,0,593,593,0,80,80,-,13%,0,609,609,0,71,71,-,12%
64,私立,東京女子医科大学,うち19歳,0,426,426,0,58,58,-,14%,0,506,506,0,83,83,-,16%,0,530,530,0,73,73,-,14%,0,516,516,0,67,67,-,13%,0,564,564,0,58,58,-,10%,0,497,497,0,50,50,-,10%
64,私立,東京女子医科大学,うち20歳,0,257,257,0,26,26,-,10%,0,273,273,0,31,31,-,11%,0,292,292,0,40,40,-,14%,0,334,334,0,39,39,-,12%,0,303,303,0,32,32,-,11%,0,251,251,0,22,22,-,9%
64,私立,東京女子医科大学,うち21歳,0,100,100,0,7,7,-,7%,0,105,105,0,5,5,-,5%,0,131,131,0,8,8,-,6%,0,128,128,0,13,13,-,10%,0,112,112,0,10,10,-,9%,0,90,90,0,5,5,-,6%
64,私立,東京女子医科大学,うち22歳以上,0,151,151,0,9,9,-,6%,0,153,153,0,8,8,-,5%,0,186,186,0,16,16,-,9%,0,187,187,0,7,7,-,4%,0,196,196,0,11,11,-,6%,0,133,133,0,9,9,-,7%
65,私立,東邦大学,合計,"1,691","1,289","2,980",132,94,226,8%,7%,"1,428","1,121","2,549",159,110,269,11%,10%,"1,710","1,163","2,873",134,95,229,8%,8%,"1,770","1,248","3,018",164,91,255,9%,7%,"1,704","1,141","2,845",138,83,221,8%,7%,"1,513","1,067","2,580",137,73,210,9%,7%
65,私立,東邦大学,うち18歳以下,476,498,974,42,50,92,9%,10%,445,419,864,66,56,122,15%,13%,490,436,926,48,45,93,10%,10%,503,411,914,62,46,108,12%,11%,510,388,898,45,42,87,9%,11%,493,391,884,52,31,83,11%,8%
65,私立,東邦大学,うち19歳,582,388,970,67,32,99,12%,8%,465,376,841,60,38,98,13%,10%,547,351,898,52,35,87,10%,10%,528,411,939,66,31,97,13%,8%,529,363,892,52,25,77,10%,7%,477,379,856,47,32,79,10%,8%
65,私立,東邦大学,うち20歳,282,198,480,18,6,24,6%,3%,246,162,408,18,9,27,7%,6%,280,175,455,19,9,28,7%,5%,309,197,506,16,6,22,5%,3%,290,197,487,20,9,29,7%,5%,232,126,358,18,3,21,8%,2%
65,私立,東邦大学,うち21歳,131,81,212,2,4,6,2%,5%,99,62,161,6,2,8,6%,3%,138,68,206,4,1,5,3%,1%,140,96,236,9,2,11,6%,2%,150,64,214,10,3,13,7%,5%,118,66,184,9,2,11,8%,3%
65,私立,東邦大学,うち22歳以上,220,124,344,3,2,5,1%,2%,173,102,275,9,5,14,5%,5%,255,133,388,11,5,16,4%,4%,290,133,423,11,6,17,4%,5%,225,129,354,11,4,15,5%,3%,193,105,298,11,5,16,6%,5%
66,私立,日本大学,合計,"2,480","1,480","3,960",152,45,197,6%,3%,"2,406","1,355","3,761",151,61,212,6%,5%,"2,713","1,440","4,153",169,63,232,6%,4%,"2,408","1,270","3,678",167,56,223,7%,4%,"2,251","1,155","3,406",158,59,217,7%,5%,"2,447","1,297","3,744",159,65,224,6%,5%
66,私立,日本大学,うち18歳以下,461,404,865,29,17,46,6%,4%,476,334,810,33,15,48,7%,4%,504,365,869,20,13,33,4%,4%,486,320,806,24,17,41,5%,5%,480,291,771,30,18,48,6%,6%,570,366,936,40,15,55,7%,4%
66,私立,日本大学,うち19歳,663,408,"1,071",70,16,86,11%,4%,587,419,"1,006",47,26,73,8%,6%,731,395,"1,126",62,17,79,8%,4%,621,367,988,59,21,80,10%,6%,619,366,985,49,18,67,8%,5%,671,405,"1,076",54,32,86,8%,8%
66,私立,日本大学,うち20歳,454,278,732,35,8,43,8%,3%,450,241,691,36,10,46,8%,4%,480,285,765,42,17,59,9%,6%,471,266,737,39,13,52,8%,5%,416,219,635,40,16,56,10%,7%,444,229,673,34,10,44,8%,4%
66,私立,日本大学,うち21歳,285,131,416,11,3,14,4%,2%,263,135,398,20,7,27,8%,5%,317,155,472,25,9,34,8%,6%,271,117,388,17,3,20,6%,3%,256,92,348,24,5,29,9%,5%,260,111,371,13,4,17,5%,4%
66,私立,日本大学,うち22歳以上,617,259,876,7,1,8,1%,0%,630,226,856,15,3,18,2%,1%,681,240,921,20,7,27,3%,3%,559,200,759,28,2,30,5%,1%,480,187,667,15,2,17,3%,1%,502,186,688,18,4,22,4%,2%
67,私立,日本医科大学,合計,"2,320","1,352","3,672",227,128,355,10%,9%,"1,960","1,166","3,126",212,120,332,11%,10%,"1,360",772,"2,132",219,110,329,16%,14%,"1,313",722,"2,035",191,95,286,15%,13%,"1,237",706,"1,943",194,97,291,16%,14%,"1,195",604,"1,799",192,84,276,16%,14%
67,私立,日本医科大学,うち18歳以下,580,469,"1,049",63,42,105,11%,9%,482,365,847,53,40,93,11%,11%,309,266,575,39,35,74,13%,13%,339,217,556,38,27,65,11%,12%,306,220,526,48,30,78,16%,14%,340,207,547,71,32,103,21%,15%
67,私立,日本医科大学,うち19歳,699,400,"1,099",102,59,161,15%,15%,523,387,910,98,59,157,19%,15%,409,207,616,111,50,161,27%,24%,404,232,636,85,40,125,21%,17%,383,228,611,72,46,118,19%,20%,358,202,560,72,37,109,20%,18%
67,私立,日本医科大学,うち20歳,388,224,612,40,19,59,10%,8%,324,160,484,35,14,49,11%,9%,225,125,350,35,14,49,16%,11%,215,129,344,30,17,47,14%,13%,210,119,329,38,12,50,18%,10%,184,96,280,27,9,36,15%,9%
67,私立,日本医科大学,うち21歳,201,95,296,14,5,19,7%,5%,170,79,249,15,4,19,9%,5%,117,69,186,11,5,16,9%,7%,111,49,160,15,5,20,14%,10%,128,52,180,13,3,16,10%,6%,109,42,151,13,5,18,12%,12%
67,私立,日本医科大学,うち22歳以上,452,164,616,8,3,11,2%,2%,461,175,636,11,3,14,2%,2%,300,105,405,23,6,29,8%,6%,244,95,339,23,6,29,9%,6%,210,87,297,23,6,29,11%,7%,204,57,261,9,1,10,4%,2%
68,私立,北里大学,合計,"1,427",941,"2,368",130,100,230,9%,11%,"1,517",908,"2,425",137,92,229,9%,10%,"1,330",851,"2,181",182,92,274,14%,11%,"1,643",969,"2,612",207,135,342,13%,14%,"1,384",873,"2,257",166,95,261,12%,11%,"1,290",741,"2,031",182,71,253,14%,10%
68,私立,北里大学,うち18歳以下,336,332,668,40,53,93,12%,16%,378,276,654,41,46,87,11%,17%,343,315,658,61,49,110,18%,16%,406,312,718,43,50,93,11%,16%,356,269,625,35,42,77,10%,16%,363,268,631,51,36,87,14%,13%
68,私立,北里大学,うち19歳,390,235,625,42,21,63,11%,9%,353,273,626,35,17,52,10%,6%,385,226,611,58,21,79,15%,9%,424,263,687,74,34,108,17%,13%,393,254,647,61,28,89,16%,11%,372,218,590,60,21,81,16%,10%
68,私立,北里大学,うち20歳,227,160,387,18,6,24,8%,4%,287,146,433,33,12,45,11%,8%,209,143,352,30,16,46,14%,11%,307,194,501,41,25,66,13%,13%,287,168,455,37,15,52,13%,9%,216,110,326,34,6,40,16%,5%
68,私立,北里大学,うち21歳,152,92,244,12,9,21,8%,10%,149,81,230,12,10,22,8%,12%,114,59,173,18,5,23,16%,8%,193,86,279,16,8,24,8%,9%,137,53,190,19,4,23,14%,8%,116,55,171,12,4,16,10%,7%
68,私立,北里大学,うち22歳以上,322,122,444,18,11,29,6%,9%,350,132,482,16,7,23,5%,5%,279,108,387,15,1,16,5%,1%,313,114,427,33,18,51,11%,16%,211,129,340,14,6,20,7%,5%,223,90,313,25,4,29,11%,4%
69,私立,聖マリアンナ医科大学,合計,"1,794","1,417","3,211",138,74,212,8%,5%,"1,856","1,349","3,205",145,102,247,8%,8%,"2,090","1,382","3,472",168,133,301,8%,10%,"1,950","1,309","3,259",154,102,256,8%,8%,"1,919","1,376","3,295",139,88,227,7%,6%,"1,752","1,235","2,987",129,73,202,7%,6%
69,私立,聖マリアンナ医科大学,うち18歳以下,299,369,668,16,50,66,5%,14%,281,290,571,18,34,52,6%,12%,322,309,631,20,14,34,6%,5%,329,300,629,22,18,40,7%,6%,324,315,639,21,26,47,6%,8%,366,337,703,24,25,49,7%,7%
69,私立,聖マリアンナ医科大学,うち19歳,441,409,850,53,23,76,12%,6%,415,434,849,37,62,99,9%,14%,508,417,925,48,46,94,9%,11%,444,363,807,40,40,80,9%,11%,525,430,955,36,37,73,7%,9%,470,375,845,38,24,62,8%,6%
69,私立,聖マリアンナ医科大学,うち20歳,344,267,611,36,1,37,10%,0%,407,271,678,31,4,35,8%,1%,403,284,687,41,43,84,10%,15%,409,289,698,47,22,69,11%,8%,392,292,684,38,19,57,10%,7%,341,234,575,35,13,48,10%,6%
69,私立,聖マリアンナ医科大学,うち21歳,218,141,359,16,0,16,7%,0%,208,143,351,14,1,15,7%,1%,274,149,423,20,9,29,7%,6%,251,147,398,17,11,28,7%,7%,240,127,367,18,4,22,8%,3%,191,122,313,8,8,16,4%,7%
69,私立,聖マリアンナ医科大学,うち22歳以上,492,231,723,17,0,17,3%,0%,545,211,756,45,1,46,8%,0%,583,223,806,39,21,60,7%,9%,517,210,727,28,11,39,5%,5%,438,212,650,26,2,28,6%,1%,384,167,551,24,3,27,6%,2%
70,私立,東海大学,合計,"3,222","2,077","5,299",124,76,200,4%,4%,"3,916","2,411","6,327",138,64,202,4%,3%,"3,830","2,213","6,043",146,66,212,4%,3%,"3,179","1,951","5,130",103,76,179,3%,4%,"2,842","1,790","4,632",101,61,162,4%,3%,"2,481","1,442","3,923",79,66,145,3%,5%
70,私立,東海大学,うち18歳以下,615,624,"1,239",30,31,61,5%,5%,833,615,"1,448",25,14,39,3%,2%,712,571,"1,283",29,21,50,4%,4%,673,525,"1,198",19,27,46,3%,5%,646,454,"1,100",30,22,52,5%,5%,553,438,991,35,24,59,6%,5%
70,私立,東海大学,うち19歳,886,608,"1,494",43,20,63,5%,3%,898,755,"1,653",41,21,62,5%,3%,"1,063",658,"1,721",44,20,64,4%,3%,855,538,"1,393",29,25,54,3%,5%,716,536,"1,252",27,13,40,4%,2%,666,403,"1,069",15,21,36,2%,5%
70,私立,東海大学,うち20歳,558,323,881,20,11,31,4%,3%,690,466,"1,156",31,15,46,4%,3%,709,354,"1,063",36,14,50,5%,4%,589,392,981,24,7,31,4%,2%,543,337,880,16,7,23,3%,2%,425,245,670,8,12,20,2%,5%
70,私立,東海大学,うち21歳,346,209,555,11,7,18,3%,3%,406,178,584,12,8,20,3%,4%,443,225,668,15,5,20,3%,2%,336,185,521,6,5,11,2%,3%,306,120,426,15,5,20,5%,4%,235,134,369,5,2,7,2%,1%
70,私立,東海大学,うち22歳以上,817,313,"1,130",20,7,27,2%,2%,"1,089",397,"1,486",29,6,35,3%,2%,903,405,"1,308",22,6,28,2%,1%,726,311,"1,037",25,12,37,3%,4%,631,343,974,13,14,27,2%,4%,602,222,824,16,7,23,3%,3%
71,私立,金沢医科大学,合計,"3,072","1,821","4,893",158,92,250,5%,5%,"2,442","1,346","3,788",155,87,242,6%,6%,"2,458","1,445","3,903",164,88,252,7%,6%,"2,319","1,318","3,637",155,96,251,7%,7%,"2,034","1,110","3,144",131,85,216,6%,8%,"1,792",887,"2,679",142,92,234,8%,10%
71,私立,金沢医科大学,うち18歳以下,560,454,"1,014",23,28,51,4%,6%,465,337,802,28,23,51,6%,7%,416,392,808,24,14,38,6%,4%,428,355,783,20,19,39,5%,5%,364,282,646,28,17,45,8%,6%,348,246,594,28,20,48,8%,8%
71,私立,金沢医科大学,うち19歳,695,477,"1,172",52,25,77,7%,5%,517,402,919,46,34,80,9%,8%,609,438,"1,047",48,39,87,8%,9%,499,365,864,40,33,73,8%,9%,448,311,759,39,27,66,9%,9%,409,229,638,33,26,59,8%,11%
71,私立,金沢医科大学,うち20歳,528,374,902,32,22,54,6%,6%,476,254,730,43,17,60,9%,7%,442,273,715,33,22,55,7%,8%,423,256,679,39,21,60,9%,8%,398,202,600,23,21,44,6%,10%,344,177,521,23,29,52,7%,16%
